date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
13:22:51	2043570/2043570	---M--	200	added ('OK')	image/png	etag:%221f2eb2-67ef7066-a204ed63f456ca7a;;;%22	https://elegencia.pixcelsthemes.com/livepreview/elegencia-main/assets/img/video_1.png	F:/CODE/DATN/HotleFE/Hotel/elegencia.pixcelsthemes.com/livepreview/elegencia-main/assets/img/video_1.png	(from https://elegencia.pixcelsthemes.com/livepreview/elegencia-main/hotel-resort/resort.html)
13:22:51	222789/222789	---M--	200	added ('OK')	image/png	etag:%2236645-67ef7066-7b77fed7373146fe;;;%22	https://elegencia.pixcelsthemes.com/livepreview/elegencia-main/assets/img/banner_top_all.png	F:/CODE/DATN/HotleFE/Hotel/elegencia.pixcelsthemes.com/livepreview/elegencia-main/assets/img/banner_top_all.png	(from https://elegencia.pixcelsthemes.com/livepreview/elegencia-main/restaurant/chef.html)
13:22:51	37467/37467	---M--	200	added ('OK')	image/jpeg	etag:%22925b-67ef7066-4323a26ef47796ca;;;%22	https://elegencia.pixcelsthemes.com/livepreview/elegencia-main/assets/img/chef_1.jpg	F:/CODE/DATN/HotleFE/Hotel/elegencia.pixcelsthemes.com/livepreview/elegencia-main/assets/img/chef_1.jpg	(from https://elegencia.pixcelsthemes.com/livepreview/elegencia-main/restaurant/chef.html)
13:22:52	32187/32187	---M--	200	added ('OK')	image/jpeg	etag:%227dbb-67ef7066-1e321faeb22f7660;;;%22	https://elegencia.pixcelsthemes.com/livepreview/elegencia-main/assets/img/chef_2.jpg	F:/CODE/DATN/HotleFE/Hotel/elegencia.pixcelsthemes.com/livepreview/elegencia-main/assets/img/chef_2.jpg	(from https://elegencia.pixcelsthemes.com/livepreview/elegencia-main/restaurant/chef.html)
13:22:52	46421/46421	---M--	200	added ('OK')	image/jpeg	etag:%22b555-67ef7066-e7509a50908ffac0;;;%22	https://elegencia.pixcelsthemes.com/livepreview/elegencia-main/assets/img/chef_3.jpg	F:/CODE/DATN/HotleFE/Hotel/elegencia.pixcelsthemes.com/livepreview/elegencia-main/assets/img/chef_3.jpg	(from https://elegencia.pixcelsthemes.com/livepreview/elegencia-main/restaurant/chef.html)
13:22:52	39849/39849	---M--	200	added ('OK')	image/jpeg	etag:%229ba9-67ef7066-d963d11fb605f6ab;;;%22	https://elegencia.pixcelsthemes.com/livepreview/elegencia-main/assets/img/chef_4.jpg	F:/CODE/DATN/HotleFE/Hotel/elegencia.pixcelsthemes.com/livepreview/elegencia-main/assets/img/chef_4.jpg	(from https://elegencia.pixcelsthemes.com/livepreview/elegencia-main/restaurant/chef.html)
13:22:52	49675/49675	---M--	200	added ('OK')	image/jpeg	etag:%22c20b-67ef7066-7113764cf90dce17;;;%22	https://elegencia.pixcelsthemes.com/livepreview/elegencia-main/assets/img/chef_5.jpg	F:/CODE/DATN/HotleFE/Hotel/elegencia.pixcelsthemes.com/livepreview/elegencia-main/assets/img/chef_5.jpg	(from https://elegencia.pixcelsthemes.com/livepreview/elegencia-main/restaurant/chef.html)
13:22:53	2761326/2761326	---M--	200	added ('OK')	image/jpeg	etag:%222a226e-67ef7066-8e4c24874bf60dd4;;;%22	https://elegencia.pixcelsthemes.com/livepreview/elegencia-main/assets/img/slider_8_img_1.jpg	F:/CODE/DATN/HotleFE/Hotel/elegencia.pixcelsthemes.com/livepreview/elegencia-main/assets/img/slider_8_img_1.jpg	(from https://elegencia.pixcelsthemes.com/livepreview/elegencia-main/hotel-resort/resort.html)
13:22:53	49650/49650	---M--	200	added ('OK')	image/jpeg	etag:%22c1f2-67ef7066-c89e9d43a8b2e9a1;;;%22	https://elegencia.pixcelsthemes.com/livepreview/elegencia-main/assets/img/chef_6.jpg	F:/CODE/DATN/HotleFE/Hotel/elegencia.pixcelsthemes.com/livepreview/elegencia-main/assets/img/chef_6.jpg	(from https://elegencia.pixcelsthemes.com/livepreview/elegencia-main/restaurant/chef.html)
13:22:54	265712/265712	---M--	200	added ('OK')	image/png	etag:%2240df0-67ef7066-5ebd260ac6457b17;;;%22	https://elegencia.pixcelsthemes.com/livepreview/elegencia-main/assets/img/menuBg.png	F:/CODE/DATN/HotleFE/Hotel/elegencia.pixcelsthemes.com/livepreview/elegencia-main/assets/img/menuBg.png	(from https://elegencia.pixcelsthemes.com/livepreview/elegencia-main/restaurant/menu.html)
13:22:54	224647/224647	---M--	200	added ('OK')	image/png	etag:%2236d87-67ef7066-8de11e0540814fb0;;;%22	https://elegencia.pixcelsthemes.com/livepreview/elegencia-main/assets/img/bessertsMenuBg.png	F:/CODE/DATN/HotleFE/Hotel/elegencia.pixcelsthemes.com/livepreview/elegencia-main/assets/img/bessertsMenuBg.png	(from https://elegencia.pixcelsthemes.com/livepreview/elegencia-main/restaurant/menu.html)
13:22:55	24887/24887	---M--	200	added ('OK')	image/png	etag:%226137-67ef7066-661aceae65a917bb;;;%22	https://elegencia.pixcelsthemes.com/livepreview/elegencia-main/assets/img/item-show_3.png	F:/CODE/DATN/HotleFE/Hotel/elegencia.pixcelsthemes.com/livepreview/elegencia-main/assets/img/item-show_3.png	(from https://elegencia.pixcelsthemes.com/livepreview/elegencia-main/restaurant/menu.html)
13:22:55	61588/61588	---M--	200	added ('OK')	image/jpeg	etag:%22f094-67ef7066-70659524f7f1c4bc;;;%22	https://elegencia.pixcelsthemes.com/livepreview/elegencia-main/assets/img/meetAbout.jpg	F:/CODE/DATN/HotleFE/Hotel/elegencia.pixcelsthemes.com/livepreview/elegencia-main/assets/img/meetAbout.jpg	(from https://elegencia.pixcelsthemes.com/livepreview/elegencia-main/restaurant/meet-the-chef.html)
13:22:55	60998/60998	---M--	200	added ('OK')	image/jpeg	etag:%22ee46-67ef7066-28b1fc66962a1b48;;;%22	https://elegencia.pixcelsthemes.com/livepreview/elegencia-main/assets/img/portfolio_2.jpg	F:/CODE/DATN/HotleFE/Hotel/elegencia.pixcelsthemes.com/livepreview/elegencia-main/assets/img/portfolio_2.jpg	(from https://elegencia.pixcelsthemes.com/livepreview/elegencia-main/restaurant/portfolio.html)
13:22:55	33328/33328	---M--	200	added ('OK')	image/jpeg	etag:%228230-67ef7066-c3829426424f07d4;;;%22	https://elegencia.pixcelsthemes.com/livepreview/elegencia-main/assets/img/portfolio_3.jpg	F:/CODE/DATN/HotleFE/Hotel/elegencia.pixcelsthemes.com/livepreview/elegencia-main/assets/img/portfolio_3.jpg	(from https://elegencia.pixcelsthemes.com/livepreview/elegencia-main/restaurant/portfolio.html)
13:22:56	41547/41547	---M--	200	added ('OK')	image/jpeg	etag:%22a24b-67ef7066-405d6215680c6786;;;%22	https://elegencia.pixcelsthemes.com/livepreview/elegencia-main/assets/img/portfolio_4.jpg	F:/CODE/DATN/HotleFE/Hotel/elegencia.pixcelsthemes.com/livepreview/elegencia-main/assets/img/portfolio_4.jpg	(from https://elegencia.pixcelsthemes.com/livepreview/elegencia-main/restaurant/portfolio.html)
13:22:56	43645/43645	---M--	200	added ('OK')	image/jpeg	etag:%22aa7d-67ef7066-d22bb36422838e60;;;%22	https://elegencia.pixcelsthemes.com/livepreview/elegencia-main/assets/img/portfolio_5.jpg	F:/CODE/DATN/HotleFE/Hotel/elegencia.pixcelsthemes.com/livepreview/elegencia-main/assets/img/portfolio_5.jpg	(from https://elegencia.pixcelsthemes.com/livepreview/elegencia-main/restaurant/portfolio.html)
13:22:56	996948/996948	---M--	200	added ('OK')	image/png	etag:%22f3654-67ef7066-89f051e0c44b95;;;%22	https://elegencia.pixcelsthemes.com/livepreview/elegencia-main/assets/img/barMenuBg.png	F:/CODE/DATN/HotleFE/Hotel/elegencia.pixcelsthemes.com/livepreview/elegencia-main/assets/img/barMenuBg.png	(from https://elegencia.pixcelsthemes.com/livepreview/elegencia-main/restaurant/menu.html)
13:22:56	41193/41193	---M--	200	added ('OK')	image/jpeg	etag:%22a0e9-67ef7066-14d7976cae036e8d;;;%22	https://elegencia.pixcelsthemes.com/livepreview/elegencia-main/assets/img/portfolio_6.jpg	F:/CODE/DATN/HotleFE/Hotel/elegencia.pixcelsthemes.com/livepreview/elegencia-main/assets/img/portfolio_6.jpg	(from https://elegencia.pixcelsthemes.com/livepreview/elegencia-main/restaurant/portfolio.html)
13:22:56	41788/41788	---M--	200	added ('OK')	image/jpeg	etag:%22a33c-67ef7066-4501f41a01ea0b38;;;%22	https://elegencia.pixcelsthemes.com/livepreview/elegencia-main/assets/img/portfolio_7.jpg	F:/CODE/DATN/HotleFE/Hotel/elegencia.pixcelsthemes.com/livepreview/elegencia-main/assets/img/portfolio_7.jpg	(from https://elegencia.pixcelsthemes.com/livepreview/elegencia-main/restaurant/portfolio.html)
13:22:57	20271/20271	---M--	200	added ('OK')	image/jpeg	etag:%224f2f-67ef7066-9e9a506dcea2fb5a;;;%22	https://elegencia.pixcelsthemes.com/livepreview/elegencia-main/assets/img/portfolio_8.jpg	F:/CODE/DATN/HotleFE/Hotel/elegencia.pixcelsthemes.com/livepreview/elegencia-main/assets/img/portfolio_8.jpg	(from https://elegencia.pixcelsthemes.com/livepreview/elegencia-main/restaurant/portfolio.html)
